taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Genome Size   * assembled,Gene Count   * assembled
2651869801,Bacteria,Permanent Draft,Genome sequencing of HCH degrading microbes isolated from Czech soil,Sphingobium baderi LL03 (CSIRO),Commonwealth Scientific and Industrial Research Organisation (CSIRO),2651869801,4685044,4648
2828378008,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Sphingobium francense DSM 26779,DOE Joint Genome Institute (JGI),2828378008,4161262,4023
2816332544,Bacteria,Permanent Draft,Genome sequencing of Mesorhizobia from legumes,Mesorhizobium loti R7ANSxAA22,Curtin University,2816332544,6835209,6637
2740891853,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Sphingomonas sp. PP-CE-3G-477,DOE Joint Genome Institute (JGI),2740891853,4090908,3803
2846021382,Bacteria,Permanent Draft,Chromobacterium violaceum and Chromobacterium haemolyticum Genome sequencing,Chromobacterium violaceum 16-419B,Centers for Disease Control and Prevention,2846021382,4758994,4572
2906643746,Bacteria,Permanent Draft,Bradyrhizobium genosp. SA-3 Rp7b genome sequencing,Bradyrhizobium genosp. SA-3 Rp7b,University of Pretoria,2906643746,8722424,8819
2639763017,Bacteria,Permanent Draft,Genome sequencing of Methylobacterium platani strains isolated from rice seed tissue,Methylobacterium indicum SE2.11,"Institute of Microbial Technology (IMTECH), Council of Scientific and Industrial Research (CSIR)",2639763017,6921653,6626
2630968526,Bacteria,Permanent Draft,Chromobacterium vaccinii strain:MWU205 Genome sequencing,Chromobacterium vaccinii MWU205,Midwestern University,2630968526,4967635,4675
2900271162,Bacteria,Permanent Draft,AAP Bacteria from Wheat Phyllosphere,Methylobacterium sp. WL103,Aarhus University,2900271162,5203036,6322
2839310330,Bacteria,Permanent Draft,Methylobacterium frigidaeris IER25-16 genome sequencing,Methylobacterium frigidaeris IER25-16,Chung-Ang University,2839310330,6395331,7379
2894314779,Bacteria,Permanent Draft,Microvirga sp. SYSU G3D207 genome sequencing,Microvirga sp. SYSU G3D207,"Sun Yat-sen University, SYSU",2894314779,5053091,5039
2829787817,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Rhizorhapis suberifaciens DSM 7465,DOE Joint Genome Institute (JGI),2829787817,3360228,3391
2713896891,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Mesorhizobium sp. Root172,Max Planck Institute for Plant Breeding Research,2713896891,6838880,6620
2617271303,Bacteria,Permanent Draft,Sphingopyxis Genome sequencing,Sphingopyxis sp. MWB1,Korea Basic Science Institute (KBSI),2617271303,3118428,2907
2687453238,Bacteria,Finished,Mesorhizobium ciceri CC1192 genome sequencing,Mesorhizobium ciceri CC1192,Murdoch University,2687453238,6943628,6749
2869242130,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.CA.004.11.2.1,"University of California, Davis",2869242130,6609239,7531
2927408919,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 54,DOE Joint Genome Institute (JGI),2927408919,8846753,8552
2706794544,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. L103C565B0,University of Southern California,2706794544,6146683,5981
2671181059,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LNJC372A00,University of Southern California,2671181059,6523874,6353
2852680915,Bacteria,Permanent Draft,Plant growth-promoting bacteria from the rhizosphere of the beachgrass Ammophila breviligulata,Sphingopyxis sp. JAI128,DOE Joint Genome Institute (JGI),2852680915,4100189,3966
2636415409,Bacteria,Finished,Sphingopyxis fribergensis Kp5.2 Genome sequencing,Sphingopyxis fribergensis Kp5.2,Bielefeld University,2636415409,5202172,4952
2728369600,Bacteria,Permanent Draft,Agrobacterium sp. D14,Agrobacterium sp. D14,Huazhong Agricultural University,2728369600,5535606,5297
2885318864,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M4B.F.Ca.ET.017.02.2.1,"University of California, Davis",2885318864,6729568,7215
2833485454,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Blastomonas sp. CCH3-A3,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2833485454,4251764,4292
2894369371,Bacteria,Permanent Draft,Genome sequencing of Microvirga aerophila DSM 21344,Microvirga aerophila DSM 21344,Guangdong Institute of Microbiology,2894369371,6003377,6293
2609459751,Bacteria,Permanent Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA",Tardiphaga sp. OK245,DOE Joint Genome Institute (JGI),2609459751,6356861,6039
2903795123,Bacteria,Permanent Draft,Sphingomonas sp. ZLT-5 genome sequencing,Sphingomonas sp. ZLT-5,Nanjing Agricultural University,2903795123,3071096,2952
2850609361,Bacteria,Finished,Agrobacterium tumefaciens CFBP6626 genome sequencing,Agrobacterium tumefaciens CFBP6626,Academia Sinica,2850609361,5525862,5374
2824600985,Bacteria,Permanent Draft,Evolution and phylogenomics of peanut bardyrhizobia,Bradyrhizobium sp.HAMBI 2135,"Institute of Biotechnology, Helsinki University",2824600985,8488197,8395
2681813424,Bacteria,Permanent Draft,Sphingobium sp. 22B Genome sequencing,Sphingobium sp. 22B,"CINDEFI, UNLP/CONICET",2681813424,5352782,5104
2643221547,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Pseudolabrys sp. Root1462,Max Planck Institute for Plant Breeding Research,2643221547,4740017,4605
2706794526,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LSHC426A00,University of Southern California,2706794526,6486028,6339
2643221796,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Methylobacterium sp. Leaf99,Max Planck Institute for Plant Breeding Research,2643221796,4645412,4413
2545824645,Bacteria,Permanent Draft,Sphingopyxis sp. MC1 Genome sequencing,Sphingopyxis sp. MC1,Aalborg University,2545824645,3653464,3514
2841553518,Bacteria,Finished,Sphingopyxis sp. PAMC25046 genome sequencing,Sphingopyxis sp. PAMC25046,Korea Polar Research Institute (KOPRI),2841553518,4497392,4360
2848678243,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Porphyrobacter donghaensis CCH6-A1,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2848678243,4094204,4283
2919709256,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Sphingobium xenophagum 4256,DOE Joint Genome Institute (JGI),2919709256,4318106,4193
2643221580,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Devosia sp. Root635,Max Planck Institute for Plant Breeding Research,2643221580,3816678,3730
2571042868,Bacteria,Permanent Draft,Whole genome sequencing of Sphingobium barthaii KK22,Sphingobium barthaii KK22,Japan Agency for Marine-Earth Science and Technology,2571042868,4916599,4980
2508501050,Bacteria,Permanent Draft,"Analysis of the clover, pea/bean and lupin microsymbiont genetic pool by studying isolates from distinct Vavilov centres of diversity",Microvirga lupini Lut6,DOE Joint Genome Institute (JGI),2508501050,9633614,10951
2576861492,Bacteria,Permanent Draft,"Hyphomonas genome sequencing - The Third Institute of State Oceanic Administration (SOA), China",Hyphomonas oceanitis SCH89,"Third Institute of Oceanography, State Oceanic Administration",2576861492,4280175,4216
2724678956,Bacteria,Permanent Draft,Methylobacterium sp. GXS13 Genome sequencing and assembly,Methylobacterium sp. GXS13,Monash University Malaysia,2724678956,5796264,5658
2617270924,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Kordiimonas lacus CGMCC 1.9109,DOE Joint Genome Institute (JGI),2617270924,4000817,3726
2516653007,Bacteria,Permanent Draft,Rhodopseudomonas palustris sequencing - Univ of Washington,"Rhodopseudomonas palustris ATH 2.1.37, ATCC 17007",University of Washington,2516653007,5493281,5676
2878723704,Bacteria,Permanent Draft,Mesorhizobium temperatum SDW018 genome sequencing,Mesorhizobium temperatum SDW018,Zhengzhou University,2878723704,7165358,7279
2927445132,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 59,DOE Joint Genome Institute (JGI),2927445132,9603408,9531
2558860262,Bacteria,Finished,"Sphingomonas sanxanigenens DSM 19645, NX02","Sphingomonas sanxanigenens DSM 19645, NX02",Nankai University,2558860262,6205897,5922
2516653048,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Bradyrhizobium genosp. SA-4 CB756,DOE Joint Genome Institute (JGI),2516653048,9826880,9456
2788500481,Bacteria,Permanent Draft,Draft Metagenome-assembled Genomes from Global Oceans - TOBG MAGs,Afipia sp. MED728,"CEA Genoscope, Genoscope, Canada's Michael Smith Genome Sciences Centre",2788500481,5163516,5044
2927383351,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 51,DOE Joint Genome Institute (JGI),2927383351,8831277,8517
2912136445,Bacteria,Finished,Genome Sequencing of Sphingomonas sp. AP4-R1,Sphingomonas sp. AP4-R1,National Institute of Agricultural Science,2912136445,5274170,4899
2643221532,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Sphingomonas sp. 220AMFTsu3.1,"University of North Carolina, Chapel Hill",2643221532,4853686,4440
2600255249,Bacteria,Permanent Draft,Mesorhizobium metallidurans STM2683,Mesorhizobium metallidurans STM 2683,CEA Genoscope,2600255249,6232533,6078
2844322978,Bacteria,Finished,Sphingomonas sp. YZ-8 genome sequencing,Sphingomonas paeninsulae YZ-8,College of Life Science,2844322978,3994557,4296
2888434023,Bacteria,Finished,Sphingomonas sp. XS-10 genome sequencing,Sphingomonas sp. XS-10,Inner Mongolia University,2888434023,4154291,4040
2758568495,Bacteria,Permanent Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA",Tardiphaga sp. CF115,DOE Joint Genome Institute (JGI),2758568495,6222889,5890
2900148625,Bacteria,Permanent Draft,Novosphingobium sp. M24A2M genome sequencing,Novosphingobium sp. M24A2M,Korean Research Institute of BioSicence and BioTechnology,2900148625,4377191,4243
2791355131,Bacteria,Permanent Draft,Mesorhizobium helmanticense CSLC115N genome sequencing,Mesorhizobium helmanticense CSLC115N,"Instituto de Biotecnologia, UNAM",2791355131,6862889,6623
2596583582,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Microvirga guangxiensis CGMCC 1.7666,DOE Joint Genome Institute (JGI),2596583582,4721732,4574
2693429652,Bacteria,Permanent Draft,Genome Sequencing of microsymbionts nodulating soybean plants,Bradyrhizobium diazoefficiens CCBAU 41267,China Agricultural University,2693429652,9093357,8921
2825096259,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Novosphingobium sp. BK409,DOE Joint Genome Institute (JGI),2825096259,4895036,4448
2857295645,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Acidovorax delafieldii CCH4-A2,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2857295645,4007395,3919
2878035449,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M3A.F.Ca.ET.201.01.1.1,"University of California, Davis",2878035449,6555736,7212
2770939615,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Sphingosinicella microcystinivorans DSM 19791,DOE Joint Genome Institute (JGI),2770939615,3963648,3775
2693429784,Bacteria,Permanent Draft,Mesorhizobium sp. LCM 4576 Genome sequencing and assembly,Mesorhizobium sp. LCM 4576,University of New Hampshire,2693429784,7241525,6708
2731957698,Bacteria,Permanent Draft,Sphingomonas asaccharolytica NBRC 15499,Sphingomonas asaccharolytica NBRC 15499,National Institute of Technology and Evaluation,2731957698,4598905,4492
2878788777,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M6A.T.Ca.TU.002.02.2.1,"University of California, Davis",2878788777,6567085,8310
2904659560,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M1D.F.Ca.ET.184.01.1.1,"University of California, Davis",2904659560,6685615,6855
2510917020,Bacteria,Permanent Draft,Plant-Microbe Interfaces,Caulobacter sp. AP07,Oak Ridge National Laboratory,2510917020,5657507,5433
2675903623,Bacteria,Permanent Draft,Bradyrhizobium sp. DOA1 Genome sequencing,Bradyrhizobium sp. DOA1,National Institute for Agro-Environmental Sciences,2675903623,7543105,7190
2513237084,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Rhizobium leguminosarum bv. viciae UPM1131,DOE Joint Genome Institute (JGI),2513237084,7231967,6951
2927124413,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 27,DOE Joint Genome Institute (JGI),2927124413,11114350,11456
2869271264,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.AU.002.06.1.1,"University of California, Davis",2869271264,6908218,7320
2876392853,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M1D.F.Ca.ET.234.01.1.1,"University of California, Davis",2876392853,6660880,7039
2926934687,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 1,DOE Joint Genome Institute (JGI),2926934687,10328707,10401
2731957701,Bacteria,Permanent Draft,Comparative genomics of environmental Sphingomonas isolates,Sphingomonas pruni NBRC 15498,National Institute of Technology and Evaluation,2731957701,4478261,4282
2914902374,Bacteria,Finished,PromA plasmids of Hydrogenophaga genomes,Hydrogenophaga sp. BPS33,Leibniz Institute of Baltic Sea Research,2914902374,6772294,6458
2775506837,Bacteria,Finished,Variibacter gotjawalensis GJW-30 genome sequencing,Variibacter gotjawalensis GJW-30,Korean Research Institute of BioSicence and BioTechnology,2775506837,4586237,4499
2881121814,Bacteria,Permanent Draft,Microvirga pakistanensis NCCP-1258 genome sequencing,Microvirga pakistanensis NCCP-1258,Southwest Forestry University,2881121814,5764046,6130
2903455958,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B2-3-6,Curtin University,2903455958,6148316,6131
2698536693,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. L103C131B0,University of Southern California,2698536693,6589313,6407
2828330628,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Sphingobium vermicomposti DSM 21299,DOE Joint Genome Institute (JGI),2828330628,3389096,3351
2791355123,Bacteria,Permanent Draft,Mesorhizobium sophorae ICMP 19535 genome sequencing,Mesorhizobium sophorae ICMP 19535,Murdoch University,2791355123,8049106,7755
2928416989,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Mesorhizobium robiniae DSM 100022,DOE Joint Genome Institute (JGI),2928416989,7122966,7026
2924784321,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M4B.F.Ca.ET.143.01.1.1,"University of California, Davis",2924784321,7416538,7704
2888094666,Bacteria,Finished,Methylobacterium sp. CLZ Genome sequencing and assembly,Methylobacterium sp. CLZ,Shihezi Unversity,2888094666,5409250,5147
2846915856,Bacteria,Finished,Chromobacterium violaceum Genome sequencing,Chromobacterium violaceum CV1192,University of Sao Paulo,2846915856,4386139,4210
2899673711,Bacteria,Permanent Draft,Aeromonas sp. SCS5 genome sequencing,Sphingobium estronivorans AXB,Chinese Academy of Sciences,2899673711,4510523,4494
2878767105,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M1C.F.Ca.ET.144.01.1.1,"University of California, Davis",2878767105,6898628,7197
2824687955,Bacteria,Permanent Draft,Evolution and phylogenomics of peanut bardyrhizobia,Bradyrhizobium sp. HAMBI 2126,"Institute of Biotechnology, Helsinki University",2824687955,8360029,8333
2831716260,Bacteria,Permanent Draft,Zavarzinia compransoris DSM 1231 genome sequencing,Zavarzinia compransoris DSM 1231,Chung-Ang University,2831716260,4757539,4584
