Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,KO
2503200771,Mesop_2739,acyl-homoserine lactone synthase,2503198000,Mesorhizobium opportunistum WSM2075,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2503200863,Mesop_2831,acyl-homoserine lactone synthase,2503198000,Mesorhizobium opportunistum WSM2075,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2503204702,Mesop_6641,acyl-homoserine lactone synthase,2503198000,Mesorhizobium opportunistum WSM2075,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2503965214,Schlor_00041930,acyl-homoserine lactone synthase,2503904014,Sphingobium chlorophenolicum L-1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2507324685,MetexDRAFT_00012970,acyl-homoserine lactone synthase,2507262015,Methylorubrum extorquens DSM 13060,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2507326610,MetexDRAFT_00032230,acyl-homoserine lactone synthase,2507262015,Methylorubrum extorquens DSM 13060,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2507504790,Bra1417DRAFT_0479,acyl-homoserine lactone synthase,2507262055,Bradyrhizobium sp. WSM1417,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2508003966,Rleg11DRAFT_00010790,acyl-homoserine lactone synthase,2507525018,Rhizobium leguminosarum bv. trifolii CC283b,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2508546144,Bra471DRAFT_07225,acyl-homoserine lactone synthase,2508501009,Bradyrhizobium sp. WSM471,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2508695080,Bra1253DRAFT_04612,acyl-homoserine lactone synthase,2508501042,Bradyrhizobium sp. WSM1253,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2508727738,MicLut6DRAFT_00026830,acyl-homoserine lactone synthase,2508501050,Microvirga lupini Lut6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509077633,MicloDRAFT_00042780,acyl-homoserine lactone synthase,2508501114,Microvirga lotononidis WSM3557,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509113544,Mesw3626DRAFT_00006160,acyl-homoserine lactone synthase,2508501123,Mesorhizobium sp. WSM3626,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509118274,Mesw3626DRAFT_00053570,acyl-homoserine lactone synthase,2508501123,Mesorhizobium sp. WSM3626,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509119089,Mesw3626DRAFT_00061730,acyl-homoserine lactone synthase,2508501123,Mesorhizobium sp. WSM3626,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509135917,MesloDRAFT_00032460,acyl-homoserine lactone synthase,2508501126,Mesorhizobium sp. WSM1293,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509145076,MesW2561DRAFT_00056970,acyl-homoserine lactone synthase,2508501127,Mesorhizobium sp. WSM2561,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509146275,MesW2561DRAFT_00068990,acyl-homoserine lactone synthase,2508501127,Mesorhizobium sp. WSM2561,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509370230,MescicDRAFT_00027370,acyl-homoserine lactone synthase,2509276018,Mesorhizobium ciceri CMG6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509395606,Mesau_02680,acyl-homoserine lactone synthase,2509276022,Mesorhizobium australicum WSM2073,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509398961,Mesau_06035,acyl-homoserine lactone synthase,2509276022,Mesorhizobium australicum WSM2073,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509492602,Rleg5DRAFT_1582,acyl-homoserine lactone synthase,2509276044,Rhizobium leguminosarum bv. viciae WSM1455,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2509531318,Rleg6DRAFT_0416,acyl-homoserine lactone synthase,2509276052,Rhizobium leguminosarum bv. trifolii CC278f,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2510233269,OCA5_pHCG300170,acyl-homoserine lactone synthase,2510065041,Oligotropha carboxidovorans OM5,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2510233511,OCA5_pOC16701320,acyl-homoserine lactone synthase,2510065041,Oligotropha carboxidovorans OM5,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2510256966,MetacDRAFT_3665,acyl homoserine lactone synthase,2510065046,Methylocapsa acidiphila B2,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2510314301,MESCI2DRAFT_00006480,acyl-homoserine lactone synthase,2510065059,Mesorhizobium ciceri WSM4083,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2510378115,Rleg12_6448,acyl-homoserine lactone synthase,2510065076,Rhizobium leguminosarum bv. trifolii CB782,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2510893052,Rleg7DRAFT_0900,acyl-homoserine lactone synthase,2510461076,Rhizobium leguminosarum bv. trifolii TA1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511120694,PMI01_00487,acyl-homoserine lactone synthase,2510917020,Caulobacter sp. AP07,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511126637,PMI02_00996,acyl-homoserine lactone synthase,2510917021,Novosphingobium sp. AP12,"KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]<<>>KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511183007,PMI09_01763,acyl-homoserine lactone synthase,2510917028,Rhizobium sp. CF122,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511198765,PMI11_05427,acyl-homoserine lactone synthase,2510917030,Rhizobium sp. CF142,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511400468,PMI42_07398,acyl-homoserine lactone synthase,2511231028,Bradyrhizobium sp. YR681,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511510075,SLG_p_00990,acyl-homoserine lactone synthase,2511231055,Sphingobium sp. SYK-6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511512113,SLG_19630,acyl-homoserine lactone synthase,2511231055,Sphingobium sp. SYK-6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511512792,SLG_26250,acyl-homoserine lactone synthase,2511231055,Sphingobium sp. SYK-6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2511996605,BJ6T_10890,acyl-homoserine lactone synthase,2511231207,Bradyrhizobium japonicum USDA 6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2512531196,SinarDRAFT_2635,acyl-homoserine lactone synthase,2512047086,Sinorhizobium arboris LMG 14919,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2512645847,PMI04_04262,acyl-homoserine lactone synthase,2512564014,Sphingobium sp. AP49,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]<<>>KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]"
2512934563,MesloDRAFT_5828,acyl-homoserine lactone synthase,2512875016,Mesorhizobium loti R7A,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2512962909,Meslo2DRAFT_5082,acyl-homoserine lactone synthase,2512875024,Mesorhizobium loti R88b,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513572746,A19QDRAFT_05446,acyl-homoserine lactone synthase,2513237084,Rhizobium leguminosarum bv. viciae UPM1131,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513581464,YSWDRAFT_07220,acyl-homoserine lactone synthase,2513237085,Rhizobium leguminosarum bv. viciae UPM1137,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513613017,YU3DRAFT_05291,acyl-homoserine lactone synthase,2513237090,Mesorhizobium sp. WSM3224,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513613535,YU3DRAFT_05811,acyl-homoserine lactone synthase,2513237090,Mesorhizobium sp. WSM3224,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513613749,YU3DRAFT_06026,acyl-homoserine lactone synthase,2513237090,Mesorhizobium sp. WSM3224,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513626185,YU9DRAFT_04737,acyl-homoserine lactone synthase,2513237092,Bradyrhizobium sp. WSM1743,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513641860,YUADRAFT_05157,acyl-homoserine lactone synthase,2513237094,Bradyrhizobium sp. WSM3983,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513648015,YUEDRAFT_02859,acyl-homoserine lactone synthase,2513237095,Bradyrhizobium diazoefficiens USDA 122,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513667100,YUIDRAFT_05127,acyl-homoserine lactone synthase,2513237097,Bradyrhizobium japonicum USDA 6,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513702866,YUQDRAFT_03778,acyl-homoserine lactone synthase,2513237102,Bradyrhizobium japonicum USDA 135,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513713891,YUSDRAFT_06885,acyl-homoserine lactone synthase,2513237103,Rhizobium leguminosarum bv. viciae VF39,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513715644,YUUDRAFT_01160,acyl-homoserine lactone synthase,2513237104,Bradyrhizobium sp. EC3.3,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513854105,A3CKDRAFT_07993,acyl-homoserine lactone synthase,2513237136,Bradyrhizobium arachidis USDA 3384,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513870196,A3A1DRAFT_05661,acyl-homoserine lactone synthase,2513237138,Rhizobium favelukesii OR191,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513873966,A3AQDRAFT_01715,acyl-homoserine lactone synthase,2513237139,Bradyrhizobium ottawaense USDA 4,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2513891664,A3AIDRAFT_04379,acyl-homoserine lactone synthase,2513237141,Bradyrhizobium sp. TV2a.2,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
